,song,lyrics
104,Not Falling Apart,"Ooh...|-|Danced all night, slept all day|-|Careless with my heart again|-|Fearless when it comes to playing games|-|You don't cry, you don't care|-|Afraid to have a love affair|-|Is that your ghost or are you really there?|-|Now I can't walk, I can't talk anymore|-|Since you walked out the door|-|And now I'm stuck living out that night again|-|I'm not falling apart|-|Ooh, oh|-|Weather on a sunny day|-|Time slows down; I wish you'd stay|-|Pass me by in crowded, dark hallways|-|Mmm|-|Try my hardest not to scream|-|I find my heart is growing weak|-|So leave your reasons on the bathroom sink|-|Now I can't walk, I can't talk anymore|-|Since you walked out the door|-|And now I'm stuck living out that night again|-|I'm not falling apart|-|I heard you say you needed me now|-|What's the problem I can't see|-|You destroyed me, I won't fall apart again|-|I'm not falling apart|-|Take what you wanted|-|I will be just fine|-|You will be better off alone at night|-|Waiting and falling|-|Constantly calling out your name|-|Will it ever change?|-|Now I can't walk, I can't talk anymore|-|Since you walked out the door|-|And now I'm stuck living out that night again|-|I'm not falling apart|-|I heard you say you needed me now|-|What's the problem I can't see|-|You destroyed me, I won't fall apart again|-|I'm not falling apart|-|Ohh, ooh"
105,Nothing Lasts Forever,"It is so easy to see|-|Dysfunction between you and me|-|We must free up these tired souls|-|Before the sadness kills us both|-|I've tried and tried|-|To let you know|-|I love you|-|But I'm letting go|-|It may not last|-|But I don't know|-|I just don't know|-|If you don't know|-|Then you can't care|-|Say you'll show up|-|But you're not there|-|But I'm waiting|-|And you want to|-|Still afraid that I will desert you|-|Everyday|-|With every worthless word|-|We get more far away|-|The distance between us|-|Makes it so hard to stay|-|But nothing lasts forever|-|But be honest babe|-|It hurts but it may be the only way|-|A bed that's warm with memories|-|Can heal us temporarily|-|But misbehaving only makes|-|The ditch between us so damn deep|-|Built a wall around my heart|-|Never let it fall apart|-|But strangely I wish secretly|-|It would fall down while I'm asleep|-|If you don't know|-|Then you can't care|-|Say you'll show up|-|But you're not there|-|But I'm waiting|-|And you want to|-|Still afraid that I will desert you, babe|-|Everyday|-|With every worthless word|-|We get more far away|-|The distance between us|-|Makes it so hard to stay|-|But nothing lasts forever|-|But be honest babe|-|It hurts but it may be the only way|-|Though we have not hit the ground|-|Doesn't mean we're not still falling|-|Oh, I want so bad to pick you up|-|But you're still too|-|Reluctant to accept my help|-|What a shame|-|I hope you find somewhere to place the blame|-|But until then the fact remains|-|Everyday|-|With every worthless word|-|We get more far away|-|The distance between us|-|Makes it so hard to stay|-|But nothing lasts forever|-|But be honest babe|-|It hurts but it may be the only way|-|Everyday|-|With every worthless word|-|We get more far away|-|The distance between us|-|Makes it so hard to stay|-|But nothing lasts forever|-|But be honest babe|-|It hurts but it may be the only way"
106,One More Night,"You and I go hard at each other like we're going to war|-|You and I go rough, we keep throwing things and slamming the door|-|You and I get so damn dysfunctional, we start keeping score|-|You and I get sick, yeah, I know that we can't do this no more|-|Yeah, but baby there you go again, there you go again, making me love you|-|Yeah, I stopped using my head, using my head, let it all go|-|Got you stuck on my body, on my body, like a tattoo|-|And now I'm feeling stupid, feeling stupid, crawling back to you|-|So I cross my heart and I hope to die|-|That I'll only stay with you one more night|-|And I know I said it a million times|-|But I'll only stay with you one more night|-|Try to tell you ""no"" but my body keeps on telling you ""yes""|-|Try to tell you ""stop"", but your lipstick got me so out of breath|-|I'll be waking up in the morning, probably hating myself|-|And I'll be waking up, feeling satisfied but guilty as hell|-|Yeah, but baby there you go again, there you go again, making me love you|-|Yeah, I stopped using my head, using my head, let it all go|-|Got you stuck on my body, on my body, like a tattoo|-|And now I'm feeling stupid, feeling stupid, crawling back to you|-|So I cross my heart and I hope to die, yeah|-|That I'll only stay with you one more night, oh|-|And I know I said it a million times, yeah|-|But I'll only stay with you one more night, yeah|-|Yeah, baby, give me one more night|-|Yeah, baby, give me one more night, whoa, yeah|-|Yeah, baby, give me one more night, oh, yeah|-|Yeah, but baby there you go again, there you go again making me love you|-|Yeah, I stopped using my head, using my head, let it all go|-|Got you stuck on my body, on my body like a tattoo|-|Yeah, yeah, yeah, yeah|-|So I cross my heart and I hope to die|-|That I'll only stay with you one more night|-|And I know I said it a million times|-|But I'll only stay with you one more night|-|So I cross my heart and I hope to die, yeah, yeah|-|That I'll only stay with you one more night, yeah, yeah|-|And I know I said it a million times, yeah, yeah|-|But I'll only stay with you one more night, yeah, yeah|-|I don't know, whatever"
107,One More Night (Remix),"Ooh, oh oh oh, ooh ooh ooh ooh|-|Ooh, oh oh oh, ooh ooh ooh ooh|-|You and I go hard at each other like we're going to war|-|You and I go rough, we keep throwing things and slamming the doors|-|You and I get so damn dysfunctional we start keeping score|-|You and I get sick, yeah I know that we can't do this no more|-|But baby there you go again, there you go again, making me love you|-|Yeah I stop using my head, using my head, let it all go|-|Got you stuck on my body, on my body, like a tattoo|-|And now I'm feeling stupid, feeling stupid, crawling back to you|-|So I cross my heart and I hope to die|-|That I'll only stay with you one more night|-|And I know I said it a million times|-|But I'll only stay with you one more night|-|Try to tell you no, but my body keeps on telling you yes|-|Try to tell you stop, but your lipstick got me so out of breath|-|I'll be waking up in the morning, probably hating myself|-|I'll be waking up feeling satisfied, but guilty as hell|-|But baby there you go again, there you go again, making me love you|-|Yeah I stop using my head, using my head, let it all go|-|Got you stuck on my body, on my body, like a tattoo|-|And now I'm feeling stupid, feeling stupid, crawling back to you|-|So I cross my heart and I hope to die|-|That I'll only stay with you one more night|-|And I know I said it a million times|-|But I'll only stay with you one more night|-|(Ooh, oh oh oh, ooh ooh ooh ooh)|-|Yeah baby give me one more night|-|(Ooh, oh oh oh, ooh ooh ooh ooh)|-|Yeah baby give me one more night|-|(Ooh, oh oh oh, ooh ooh ooh ooh)|-|Yeah baby give me one more night|-|Baby there you go again, there you go again, making me love you|-|Yeah I stop using my head, using my head, let it all go|-|Got you stuck on my body, on my body, like a tattoo|-|Yeah, yeah, yeah, yeah...|-|So I cross my heart and I hope to die|-|That I'll only stay with you one more night|-|And I know I said it a million times|-|But I'll only stay with you one more night|-|(Yeah baby give me one more night)|-|So I cross my heart and I hope to die|-|That I'll only stay with you one more night|-|And I know I said it a million times|-|But I'll only stay with you one more night|-|I don't know|-|Whatever"
109,Out of Goodbyes,"Tell me actions speak louder|-|But there's something about her words|-|That hurts|-|Closing up, it's so late and|-|I'm the last one still waiting for ya|-|To lock the door|-|And on our way home I realize|-|There's some kinda storm brewing in his eyes|-|Only veiled by a thin disguise|-|And now that I've done my time|-|I need to move on and I need you to try|-|Cause we're out of goodbyes|-|We're out of goodbyes|-|Out of goodbyes|-|Never ask you to change|-|But sadly you don't feel the same|-|About me|-|I wonder, does your man|-|Still shudder when you touch his hand|-|Like this man?|-|And on our way home I realize|-|There's some kinda storm brewing in his eyes|-|Only veiled by a thin disguise|-|And now that I've done my time|-|I need to move on and I need you to try|-|Cause we're out of goodbyes (out of goodbyes)|-|We're out of goodbyes (out of goodbyes)|-|We're out of goodbyes (out of goodbyes)"
110,Overexposed,Middle seat|-|12-hour all-night drive|-|Pins and needles they break|-|Actions make more of a mess|-|Than words can make|-|Like a picture|-|I was overexposed|-|Believe me|-|I saw it with my eyes closed|-|Ohhh|-|A waxed ledge|-|Darkened from dirt and grinds|-|Break all your bones|-|Before they're grown|-|You'll never pay off|-|All of your loans|-|Like a picture|-|I was overexposed|-|Believe me|-|I saw it with my eyes closed|-|Ohhh|-|Let's wake the world|-|And sing them back to sleep|-|But people don't listen|-|So we'll scream and shout|-|As if these words are cheap|-|Like a picture|-|I was overexposed|-|Believe me|-|I still see it with my eyes closed|-|Ohhh
111,Payphone,"I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone? Baby, it's all wrong|-|Where are the plans we made for two?|-|Yeah, I, I know it's hard to remember|-|The people we used to be|-|It's even harder to picture|-|That you're not here next to me|-|You say it's too late to make it|-|But is it too late to try?|-|And in our time that you wasted|-|All of our bridges burned down|-|I've wasted my nights, you turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time when we called it love|-|But even the sun sets in paradise|-|I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone? Baby, it's all wrong|-|Where are the plans we made for two?|-|If ""Happy Ever After"" did exist|-|I would still be holding you like this|-|All those fairy tales are full of shit|-|One more fucking love song, I'll be sick|-|Oh, you turned your back on tomorrow|-|'Cause you forgot yesterday|-|I gave you my love to borrow|-|But you just gave it away|-|You can't expect me to be fine|-|I don't expect you to care|-|I know I've said it before|-|But all of our bridges burned down|-|I've wasted my nights, you turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time when we called it love|-|But even the sun sets in paradise|-|I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone? Baby, it's all wrong|-|Where are the plans we made for two?|-|If ""Happy Ever After"" did exist|-|I would still be holding you like this|-|And all those fairy tales are full of shit|-|One more fucking love song, I'll be sick|-|Now I'm at a payphone|-|Man, fuck that shit|-|I'll be out spending all this money|-|While you're sitting 'round wondering|-|Why it wasn't you who came up from nothing|-|Made it from the bottom|-|Now, when you see me I'm stunning|-|And all of my cars start with a push of a button|-|Telling me the chances I blew up, or whatever you call it|-|Switch the number to my phone, so you never could call it|-|Don't need my name on my show, you can tell it, I'm balling|-|Swish, what a shame could have got picked|-|Had a really good game, but you missed your last shot|-|So you talk about who you see at the top|-|Or what you could have saw, but sad to say it's over for|-|Phantom pulled up valet open doors|-|Wiz like go away, got what you was looking for|-|Now it's me who they want|-|So you can go and take that little piece of shit with you|-|I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone? Baby, it's all wrong|-|Where are the plans we made for two?|-|If ""Happy Ever After"" did exist|-|I would still be holding you like this|-|All these fairy tales are full of shit|-|Yeah, one more fucking love song, I'll be sick|-|Now I'm at a payphone"
112,Payphone (clean),"I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone|-|Baby, it's all wrong, where are the plans we made for two|-|Yeah, I, I know it's hard to remember|-|The people we used to be|-|It's even harder to picture|-|That you're not here next to me|-|You say it's too late to make it|-|But is it too late to try|-|And in that time that you wasted|-|All of our bridges burn't down|-|I've wasted my nights|-|You turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time when we called it love|-|But even the sun sets in paradise|-|I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone|-|Baby, it's all wrong, where are the plans we made for two|-|If happy ever after did exist|-|I would still be holding you like this|-|And all those fairytales are full all there|-|One more stupid love song I'll be sick|-|You turned your back on tomorrow|-|Cause you forgot yesterday|-|I gave you my love to borrow|-|But you just gave it away|-|You can't expect me to be fine|-|I don't expect you to care|-|I know I said it before|-|But all of our bridges burn't down|-|I've wasted my nights|-|You turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time when we called it love|-|But even the sun sets in paradise|-|I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone|-|Baby, it's all wrong, where are the plans we made for two|-|If happy ever after did exist|-|I would still be holding you like this|-|And all those fairytales are full all there|-|One more stupid love song I'll be sick|-|Now I'm at a payphone...|-|Now baby don't hang up|-|So I can tell you what you need to know|-|Baby im begging just please don't go|-|So I can tell you what you need to know|-|I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone|-|Baby, it's all wrong, where are the plans we made for two|-|If happy ever after did exist|-|I would still be holding you like this|-|And all those fairytales are full all there|-|One more stupid love song I'll be sick|-|Now I'm at a payphone..."
113,Payphone (explicit),"I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone?|-|Baby, it's all wrong|-|Where are the plans we made for two?|-|Yeah, I, I know it's hard to remember|-|The people we used to be|-|It's even harder to picture|-|That you're not here next to me|-|You say it's too late to make it|-|But is it too late to try?|-|And in our time that you wasted|-|All of our bridges burned down|-|I've wasted my nights|-|You turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time|-|When we called it love|-|But even the sun sets in paradise|-|I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone?|-|Baby, it's all wrong|-|Where are the plans we made for two?|-|If ""Happy Ever After"" did exist|-|I would still be holding you like this|-|All those fairy tales are full of shit|-|One more fucking love song, I'll be sick|-|Oh, you turned your back on tomorrow|-|'Cause you forgot yesterday|-|I gave you my love to borrow|-|But you just gave it away|-|You can't expect me to be fine|-|I don't expect you to care|-|I know I've said it before|-|But all of our bridges burned down|-|I've wasted my nights|-|You turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time|-|When we called it love|-|But even the sun sets in paradise|-|I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone?|-|Baby, it's all wrong|-|Where are the plans we made for two?|-|If ""Happy Ever After"" did exist|-|I would still be holding you like this|-|And all those fairy tales are full of shit|-|One more fucking love song, I'll be sick|-|Now I'm at a payphone|-|Man, fuck that shit|-|I'll be out spending all this money|-|While you're sitting 'round wondering|-|Why it wasn't you who came up from nothing|-|Made it from the bottom|-|Now, when you see me I'm stunning|-|And all of my cars start with a push of a button|-|Telling me the chances I blew up, or whatever you call it|-|Switch the number to my phone, so you never could call it|-|Don't need my name on my show, you can tell it, I'm balling|-|Swish, what a shame could have got picked|-|Had a really good game, but you missed your last shot|-|So you talk about who you see at the top|-|Or what you could have saw, but sad to say it's over for|-|Phantom pulled up valet open doors|-|Wiz like go away, got what you was looking for|-|Now it's me who they want|-|So you can go and take that little piece of shit with you|-|I'm at a payphone trying to call home|-|All of my change I spent on you|-|Where have the times gone?|-|Baby, it's all wrong|-|Where are the plans we made for two?|-|If ""Happy Ever After"" did exist|-|I would still be holding you like this|-|All these fairy tales are full of shit|-|Yeah, one more fucking love song, I'll be sick|-|Now I'm at a payphone"
114,Payphone (Remix),"I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone?|-|Baby, it's all wrong|-|Where are the plans we made for two?|-|Yeah, I, I know it's hard to remember|-|The people we used to be...|-|It's even harder to picture|-|That you're not here next to me|-|You say it's too late to make it|-|But is it too late to try?|-|And in our time that you wasted|-|All of our bridges burned down|-|I've wasted my nights|-|You turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time when we called it love|-|But even the sun sets in paradise...|-|I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone?|-|Baby, it's all wrong|-|Where are the plans we made for two?|-|If happy ever after did exist|-|I would still be holding you like this|-|All those fairy tales are full of shit (video), it (album and radio)|-|One more fucking(video), stupi(album and radio) love song, I'll be sick|-|You turned your back on tomorrow|-|'Cause you forgot yesterday|-|I gave you my love to borrow|-|But you just gave it away|-|You can't expect me to be fine|-|I don't expect you to care|-|I know I said it before|-|But all of our bridges burned down|-|I've wasted my nights|-|You turned out the lights|-|Now I'm paralyzed|-|Still stuck in that time when we called it love|-|But even the sun sets in paradise...|-|I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone|-|Baby, it's all wrong|-|Where are the plans we made for two?|-|If happy ever after did exist|-|I would still be holding you like this|-|All those fairy tales are full of shit (video), it (album and radio)|-|One more fucking (video), stupid (album and radio) love song I'll be sick|-|Now I'm at a payphone...|-|Man, fuck that shit|-|I'll be out spending all this money|-|While you're sitting 'round wondering|-|Why it wasn't you who came up from nothing|-|Made it from the bottom|-|Now when you see me I'm stuntin'|-|And all cars start with the push of a button|-|Telling me the chances I blew up or whatever you call it|-|Switch the number to my phone so you never could call it|-|Don't need my name on my show, you can tell it I'm ballin'|-|Swish, what a shame, could have got picked|-|Had a really good game but you missed your last shot|-|So you talk about who you see at the top|-|Or what you could have saw|-|But sad to say it's over for|-|Phantom pulled up, valet open doors|-|Wiz like go away, got what you was looking for|-|Now it's me who they want|-|So you can go and take that little piece of shit with you|-|I'm at a payphone trying to call home|-|All of my change, I spent on you|-|Where have the times gone|-|Baby, it's all wrong, where are the plans we made for two|-|If happy ever after did exist|-|I would still be holding you like this|-|And all these fairy tales are full of shit|-|Yeah, one more fucking love song, I'll be sick|-|Now I'm at a payphone..."
115,Plastic Rose,"All I gave to you|-|Was my heart, my keys, my bed, my home|-|All I gave to you|-|Was my time, my green, my favorite jeans|-|And everything you choose|-|Tell me ho-ho-how, how, ho-ho-how|-|Can you take off that?|-|Can you take off that?|-|Tell me ho-ho-how, how, ho-ho-how|-|Oh, can you take off that|-|And give one thing back?|-|Woah, oh|-|Baby, all you gave me was|-|Baby, all you gave me was a plastic, plastic|-|How'd you make it feel like love?|-|Baby, all you gave me was a plastic rose|-|Baby, all you gave me was (all you gave me was)|-|Baby, all you gave me was a plastic, plastic|-|How'd you make it feel like love? (make it feel like love)|-|Baby, all you gave me was a plastic rose|-|All I asked to you|-|Was to prove to me that you were real|-|All I need from you|-|Was the pose, the breathe, the sun, and life|-|Something I can feel|-|Tell me ho-ho-how, how, ho-ho-how|-|Can you fake off that?|-|Can you fake off that?|-|Tell me ho-ho-how, how, ho-ho-how|-|Can you fake off that?|-|'Cause when I look back|-|Woah, oh|-|Baby, all you gave me was|-|Baby, all you gave me was a plastic, plastic|-|How'd you make it feel like love?|-|Baby, all you gave me was a plastic rose|-|Baby, all you gave me was (all you gave me was)|-|Baby, all you gave me was a plastic, plastic|-|How'd you make it feel like love? (make it feel like love)|-|Baby, all you gave me was a plastic rose|-|(Woah) You were something beautiful, I know|-|(Woah) I wonder why our love could never grow|-|(Woah) But you just couldn't hide it anymore, anymore|-|Baby, all you gave me was (all you gave me was)|-|Baby, all you gave me was a plastic, plastic (plastic, plastic)|-|How'd you make it feel like love?|-|Baby, all you gave me was a plastic rose (oh)|-|Baby, all you gave me was (all you gave me was)|-|Baby, all you gave me was a plastic, plastic (plastic, plastic, yeah)|-|How'd you make it feel like love? (make it feel like love)|-|Baby, all you gave me was a plastic rose (oh)|-|Plastic rose (yeah)|-|Baby, all you gave me was a plastic rose"
116,Pure Imagination,"Come with me|-|And you'll be|-|In a world of|-|Pure imagination|-|Take a look|-|And you'll see|-|Into your imagination|-|We'll begin|-|With a spin|-|Traveling in|-|The world of my creation|-|What we'll see|-|Will defy|-|Explanation|-|If you want to view paradise|-|Simply look around and view it|-|Anything you want to, do it|-|Wanta change the world?|-|There's nothing|-|To it|-|There is no|-|Life I know|-|To compare with|-|Pure imagination|-|Living there|-|You'll be free|-|If you truly wish to be|-|If you want to view paradise|-|Simply look around and view it|-|Anything you want to, do it|-|Wanta change the world?|-|There's nothing|-|To it|-|There is no|-|Life I know|-|To compare with|-|Pure imagination|-|Living there|-|You'll be free|-|If you truly|-|Wish to be"
117,Rag Doll (Original Demo/Non-LP International B-Side),"How you feelin'?|-|The day has had its way with both of us|-|And no, I've gone out of my way|-|But I'm not free from this pain I'm reelin'|-|I was a fool to think someday you would come around|-|But no, no, no, I'm not thinkin' that way|-|'Cause now I see, you are not what you seem|-|You are a mystery to me|-|Sometimes I just wanna scream|-|I think you should just go away 'cause|-|There's no necessity for you to stay, yeah|-|Next time you come around my way|-|Forget it baby, you're not comin' in|-|How's your day been? Yeah|-|'Cause mine has taken strange and lovely turns|-|But no, no, no, I feel better today|-|'Cause I'm off my knees, you are not what you seem|-|You are a mystery to me|-|Sometimes I just wanna scream, yeah|-|I think you should just go away 'cause|-|There's no necessity for you to stay, yeah|-|Next time you come around my way|-|Forget it baby, you're not comin' in|-|A heart ready for a lot of sorrow|-|No, you can't come back tomorrow|-|Shut my windows, lock my doors|-|'Cause my heart won't be your ragdoll anymore, yeah|-|I think you should just go away 'cause|-|There's no necessity for you to stay, yeah|-|Next time you come around my way|-|Forget it baby, you're not comin' in|-|A heart ready for a lot of sorrow|-|No you can't come back tomorrow|-|Shut my windows, lock my doors|-|'Cause my heart won't be your ragdoll anymore|-|'Cause my heart won't be your ragdoll anymore"
118,Ragdoll,"How you feeling?|-|The day has had its way with both of us|-|And no|-|I've gone out of my way|-|But I'm not free|-|From this pain I'm reelin'|-|I was a fool to think someday you would come around|-|But|-|no!|-|no!!|-|no!!!|-|I'm not thinkin' that way|-|'Cause now I see|-|you are not what you seem|-|You are a mystery to me|-|Sometimes I just wanna scream|-|I think you should just go away 'cause|-|There's no necessity for you to stay, yeah|-|Next time you come around my way|-|Forget it baby|-|you're not comin' in|-|...|-|How's your day been?|-|Yeah|-|'Cause mine has taken strange and lovely turns|-|But|-|no!|-|no!!|-|no!!!|-|I feel better today|-|'Cause I'm off my knees|-|you are not what you seem|-|You are a mystery to me|-|Sometimes I just wanna scream|-|yeah|-|I think you should just go away|-|'cause|-|There's no necessity for you to stay, yeah|-|Next time you come around my way|-|Forget it baby|-|you're not comin' in|-|A heart ready for a lot of sorrow|-|No, you can't come back tomorrow|-|Shut my windows|-|lock my doors|-|'Cause my heart won't be your ragdoll anymore|-|yeah|-|...|-|(guitar solo)|-|I think you should just go away|-|'cause|-|There's no necessity for you to stay, yeah|-|Next time you come around my way|-|Forget it baby, you're not comin' in|-|A heart ready for a lot of sorrow|-|No you can't come back tomorrow|-|Shut my windows|-|lock my doors|-|'Cause my heart won't be your ragdoll anymore|-|...|-|(oh oh oh oh oh oooh)|-|yeah yeah|-|oh oh oh oh|-|yeah yeah!|-|uoh oh oh oh|-|uoh uh oh oh|-|'Cause my heart won't be your ragdoll anymore"
120,Runaway,"What am I supposed to do with this time?|-|It tears so many holes, I stay afloat but I'm|-|Feel out of control, so petrified|-|I'm petrified|-|What am I supposed to do to get by?|-|Did I lose everything I need to survive?|-|'Cause it's four am and the sweat sets in|-|Did you get my message, did it send?|-|Or did you just get on with your life?|-|I'm taking time to thinking I|-|Don't think it's fair for us to|-|Turn around and say goodbye|-|I have this feeling when I|-|Finally find the words to say|-|But I can't tell you if you turn around|-|And run away, run away|-|What am I supposed to do with these clothes?|-|It's my twisted way of keep you close|-|I'm a nervous wreck, I'm a broken man|-|Did you get my message, did it send?|-|Or do you get along on your own?|-|I'm taking time to thinking I|-|Don't think it's fair for us to|-|Turn around and say goodbye|-|I have this feeling when I|-|Finally find the words to say|-|But I can't tell you if you turn around|-|And run away, run away|-|And it breaks me down when I see your face|-|You look so different but you feel the same|-|And I do not understand, I cannot comprehend|-|The chills your body sends, why did it have to end?|-|I'm taking time to thinking I|-|Don't think it's fair for us to|-|Turn around and say goodbye|-|I have this feeling that I|-|Finally find the words to say|-|But I can't tell you if you turn around|-|And run away, run away|-|I'm taking time to thinking I|-|Don't think it's fair for us to|-|Turn around and say goodbye|-|And I have this feeling that I|-|Finally find the words to say|-|But I can't tell you if you turn around|-|And run away, run away|-|Runaway, runaway|-|Turn around and run away, run away|-|Runaway, runaway|-|But I can't tell you if you run away, run away|-|Turn around and run away"
121,Sad,"Man, it's been a long day|-|Stuck thinking 'bout it driving on the freeway|-|Wondering if I really tried everything I could|-|Not knowing if I should try a little harder|-|Oh, but I'm scared to death|-|That there may not be another one like this|-|And I confess that I'm only holding on by a thin thin thread|-|And I'm kicking the curb cause you never heard|-|The words that you needed so bad|-|And I'm kicking the dirt cause I never gave you|-|the place that you needed to have|-|I'm so sad, sad|-|Man, it's been a long night|-|Just sitting here, trying not to look back|-|Still looking at the road we never drove on|-|And wondering if the one I chose was the right one|-|Oh, but I'm scared to death|-|That there may not be another one like this|-|And I confess that I'm only holding on by a thin, thin thread|-|And I'm kicking the curb cause you never heard|-|The words that you needed so bad|-|And I'm kicking the dirt cause I never gave you|-|the place that you needed to have|-|I'm so sad, sad|-|I'm so sad, so sad|-|Oh, but i'm scared to death|-|That there may not be another one like this|-|And I confess that I'm only holding on by a thin thin thread|-|And I'm kicking the curb cause you never heard|-|The words that you needed so bad|-|And I'm kicking the dirt cause I never gave you|-|the place that you needed to have|-|And I'm kicking the curb cause you never heard|-|The words that you needed so bad|-|I'm so sad, so sad"
123,Secret,"Watch the sunrise|-|Say your goodbyes|-|Off we go|-|Some conversation|-|No contemplation|-|Hit the road|-|Car overheats|-|Jump out of my seat|-|On the side of the highway, baby|-|Our road is long|-|Your hold is strong|-|Please don't ever let go, oh no|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, can they keep it?|-|Oh no, they can't|-|I'm driving fast now|-|Don't think I know how to go slow|-|Where you at now|-|I feel around|-|There you are|-|Cool these engines|-|Calm these jets|-|I ask you how hot can it get|-|And as you wipe off beads of sweat|-|Slowly you say, I'm not there yet|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, can they keep it?|-|Oh no, they can't|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, but can they keep it?|-|Oh no, they can't"
124,Secret (Demo),"Watch the sunrise|-|Say your goodbyes|-|Off we go|-|Some conversation|-|No contemplation|-|Hit the road|-|Car overheats|-|Jump out of my seat|-|On the side of the highway, baby|-|Our road is long|-|Your hold is strong|-|Please don't ever let go, oh no|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, can they keep it?|-|Oh no, they can't|-|I'm driving fast now|-|Don't think I know how|-|To go slow|-|Oh, where you at now?|-|I feel around|-|There you are|-|Cool these engines, calm these jets|-|I ask you, how hot can it get?|-|And as you wipe off beads of sweat|-|Slowly you say, I'm not there yet|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, can they keep it?|-|Oh no, they can't|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, but can they keep it?|-|Oh no, they can't"
125,Secret [Premier 5 Remix],"Watch the sunrise|-|Say your goodbyes|-|Off we go|-|Some conversation|-|No contemplation|-|Hit the road|-|Car overheats|-|Jump out of my seat|-|On the side of the highway, baby|-|Our road is long|-|Your hold is strong|-|Please don't ever let go, oh no|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, can they keep it?|-|Oh no, they can't|-|I'm driving fast now|-|Don't think I know how to go slow|-|Where you at now|-|I feel around|-|There you are|-|Cool these engines|-|Calm these jets|-|I ask you how hot can it get|-|And as you wipe off beads of sweat|-|Slowly you say, I'm not there yet|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, can they keep it?|-|Oh no, they can't|-|I know I don't know you|-|But I want you so bad|-|Everyone has a secret|-|Oh, but can they keep it?|-|Oh no, they can't"
127,Sex And Candy,"Hangin' 'round downtown by myself|-|And I had so much time to sit and think about myself|-|And there she was like double cherry pie|-|There she was like disco Super Fly|-|I smell sex and candy here.|-|Who's that loungin' in my chair?|-|Who's that castin' devious stares in my direction?|-|Mama, this surely is a dream, yeah|-|Say, mama, this surely is a dream, yeah|-|Woah, oooh, yeah|-|Hangin' 'round downtown by myself|-|And I've had too much caffeine and I was thinkin' 'bout myself|-|And then there she was, wearing that platform double suede|-|There she was like disco lemonade|-|I smell sex and candy here|-|Who's that loungin' in my chair?|-|Who's that castin' devious stares in my direction?|-|Mama, this surely is a dream, yeah|-|Say, mama, this surely is a dream, yeah|-|Oooh, yeah|-|And I smell sex and candy here|-|Who's that loungin' in my chair?|-|Who's that castin' devious stares in my direction?|-|Mama, this surely is a dream, yeah|-|Say, mama, this surely is a dream, dig it|-|This surely is a dream, yeah|-|Say, mama, this must be my dream|-|Oh, mmm.|-|Ooooh, oooh, yeah, yeah.|-|Mmm. Yeah, yeah, yeah|-|Yeah, ooooh-oooh, woah.|-|Yeah. Mmm. Oooh, woah.|-|Woah, oh. Yeah..."
